2025-01-12 03:51:16,893 - aiokafka.consumer.subscription_state - INFO - Updating subscribed topics to: frozenset({'my-topic'})
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - Discovered coordinator 1 for group my-group-test-1
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - Revoking previously assigned partitions set() for group my-group-test-1
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - (Re-)joining group my-group-test-1
2025-01-12 03:51:16,991 - aiokafka.consumer.group_coordinator - INFO - Joined group 'my-group-test-1' (generation 13) with member_id aiokafka-0.12.0-b2563333-e016-42fc-b248-042e03d331f3
2025-01-12 03:51:16,991 - aiokafka.consumer.group_coordinator - INFO - Elected group leader -- performing partition assignments using roundrobin
2025-01-12 03:51:17,002 - aiokafka.consumer.group_coordinator - INFO - Successfully synced group my-group-test-1 with generation 13
2025-01-12 03:51:17,002 - aiokafka.consumer.group_coordinator - INFO - Setting newly assigned partitions {TopicPartition(topic='my-topic', partition=0)} for group my-group-test-1
2025-01-12 03:56:55,564 - root - INFO - get: Это цифра 1748, 03:56:55.564431
2025-01-12 03:56:57,567 - root - INFO - get: Это цифра 1749, 03:56:57.567167
2025-01-12 03:56:59,574 - root - INFO - get: Это цифра 1750, 03:56:59.573917
2025-01-12 03:57:01,578 - root - INFO - get: Это цифра 1751, 03:57:01.578295
2025-01-12 03:57:03,581 - root - INFO - get: Это цифра 1752, 03:57:03.581556
2025-01-12 03:57:05,585 - root - INFO - get: Это цифра 1753, 03:57:05.585907
2025-01-12 03:57:07,593 - root - INFO - get: Это цифра 1754, 03:57:07.593339
2025-01-12 03:57:09,598 - root - INFO - get: Это цифра 1755, 03:57:09.598375
2025-01-12 03:57:11,604 - root - INFO - get: Это цифра 1756, 03:57:11.604360
2025-01-12 03:57:13,606 - root - INFO - get: Это цифра 1757, 03:57:13.606716
2025-01-12 03:57:15,612 - root - INFO - get: Это цифра 1758, 03:57:15.612074
2025-01-12 03:57:17,616 - root - INFO - get: Это цифра 1759, 03:57:17.616051
2025-01-12 03:57:19,620 - root - INFO - get: Это цифра 1760, 03:57:19.619950
2025-01-12 03:57:21,624 - root - INFO - get: Это цифра 1761, 03:57:21.624456
2025-01-12 03:57:23,631 - root - INFO - get: Это цифра 1762, 03:57:23.631489
2025-01-12 03:57:25,633 - root - INFO - get: Это цифра 1763, 03:57:25.633025
2025-01-12 03:57:27,641 - root - INFO - get: Это цифра 1764, 03:57:27.641293
2025-01-12 03:57:29,650 - root - INFO - get: Это цифра 1765, 03:57:29.650587
2025-01-12 03:57:31,656 - root - INFO - get: Это цифра 1766, 03:57:31.656083
2025-01-12 03:57:33,661 - root - INFO - get: Это цифра 1767, 03:57:33.661254
2025-01-12 03:57:35,669 - root - INFO - get: Это цифра 1768, 03:57:35.669877
2025-01-12 03:57:37,675 - root - INFO - get: Это цифра 1769, 03:57:37.674913
2025-01-12 03:57:39,682 - root - INFO - get: Это цифра 1770, 03:57:39.682234
2025-01-12 03:57:41,688 - root - INFO - get: Это цифра 1771, 03:57:41.688772
2025-01-12 03:57:43,696 - root - INFO - get: Это цифра 1772, 03:57:43.695885
2025-01-12 03:57:45,708 - root - INFO - get: Это цифра 1773, 03:57:45.708858
2025-01-12 03:57:47,717 - root - INFO - get: Это цифра 1774, 03:57:47.717690
2025-01-12 03:57:49,722 - root - INFO - get: Это цифра 1775, 03:57:49.722580
2025-01-12 03:57:51,731 - root - INFO - get: Это цифра 1776, 03:57:51.731916
2025-01-12 03:57:53,737 - root - INFO - get: Это цифра 1777, 03:57:53.737146
2025-01-12 03:57:55,744 - root - INFO - get: Это цифра 1778, 03:57:55.744353
2025-01-12 03:57:57,749 - root - INFO - get: Это цифра 1779, 03:57:57.749430
2025-01-12 03:57:59,756 - root - INFO - get: Это цифра 1780, 03:57:59.756379
2025-01-12 03:58:01,760 - root - INFO - get: Это цифра 1781, 03:58:01.760804
2025-01-12 03:58:03,769 - root - INFO - get: Это цифра 1782, 03:58:03.769357
2025-01-12 03:58:05,771 - root - INFO - get: Это цифра 1783, 03:58:05.770915
2025-01-12 03:58:07,779 - root - INFO - get: Это цифра 1784, 03:58:07.779706
2025-01-12 03:58:09,785 - root - INFO - get: Это цифра 1785, 03:58:09.785442
2025-01-12 03:58:11,787 - root - INFO - get: Это цифра 1786, 03:58:11.787588
2025-01-12 03:58:13,792 - root - INFO - get: Это цифра 1787, 03:58:13.792699
2025-01-12 03:58:15,805 - root - INFO - get: Это цифра 1788, 03:58:15.805156
2025-01-12 03:58:17,813 - root - INFO - get: Это цифра 1789, 03:58:17.813479
2025-01-12 03:58:19,816 - root - INFO - get: Это цифра 1790, 03:58:19.816406
2025-01-12 03:58:21,812 - root - INFO - get: Это цифра 1791, 03:58:21.812615
2025-01-12 03:58:23,820 - root - INFO - get: Это цифра 1792, 03:58:23.820016
2025-01-12 03:58:25,824 - root - INFO - get: Это цифра 1793, 03:58:25.824140
2025-01-12 03:58:27,833 - root - INFO - get: Это цифра 1794, 03:58:27.832794
2025-01-12 03:58:29,841 - root - INFO - get: Это цифра 1795, 03:58:29.841553
2025-01-12 03:58:31,846 - root - INFO - get: Это цифра 1796, 03:58:31.846656
2025-01-12 03:58:33,852 - root - INFO - get: Это цифра 1797, 03:58:33.851996
2025-01-12 03:58:35,857 - root - INFO - get: Это цифра 1798, 03:58:35.856849
2025-01-12 03:58:37,864 - root - INFO - get: Это цифра 1799, 03:58:37.864471
2025-01-12 03:58:39,865 - root - INFO - get: Это цифра 1800, 03:58:39.865702
2025-01-12 03:58:41,873 - root - INFO - get: Это цифра 1801, 03:58:41.873204
2025-01-12 03:58:43,877 - root - INFO - get: Это цифра 1802, 03:58:43.877507
2025-01-12 03:58:45,887 - root - INFO - get: Это цифра 1803, 03:58:45.887867
2025-01-12 03:58:47,894 - root - INFO - get: Это цифра 1804, 03:58:47.894146
2025-01-12 03:58:49,898 - root - INFO - get: Это цифра 1805, 03:58:49.898573
2025-01-12 03:58:51,903 - root - INFO - get: Это цифра 1806, 03:58:51.903104
2025-01-12 03:58:53,909 - root - INFO - get: Это цифра 1807, 03:58:53.909106
2025-01-12 03:58:55,918 - root - INFO - get: Это цифра 1808, 03:58:55.918347
2025-01-12 03:58:57,919 - root - INFO - get: Это цифра 1809, 03:58:57.919803
2025-01-12 03:58:59,943 - root - INFO - get: Это цифра 1810, 03:58:59.943727
2025-01-12 03:59:01,941 - root - INFO - get: Это цифра 1811, 03:59:01.941796
2025-01-12 03:59:03,948 - root - INFO - get: Это цифра 1812, 03:59:03.948560
2025-01-12 03:59:05,952 - root - INFO - get: Это цифра 1813, 03:59:05.952340
2025-01-12 03:59:07,957 - root - INFO - get: Это цифра 1814, 03:59:07.957203
2025-01-12 03:59:09,961 - root - INFO - get: Это цифра 1815, 03:59:09.961498
2025-01-12 03:59:11,981 - root - INFO - get: Это цифра 1816, 03:59:11.980174
2025-01-12 03:59:13,985 - root - INFO - get: Это цифра 1817, 03:59:13.985824
2025-01-12 03:59:15,987 - root - INFO - get: Это цифра 1818, 03:59:15.987444
2025-01-12 03:59:17,996 - root - INFO - get: Это цифра 1819, 03:59:17.996429
2025-01-12 03:59:20,001 - root - INFO - get: Это цифра 1820, 03:59:20.001023
2025-01-12 03:59:22,012 - root - INFO - get: Это цифра 1821, 03:59:22.012116
2025-01-12 03:59:24,016 - root - INFO - get: Это цифра 1822, 03:59:24.016342
2025-01-12 03:59:26,020 - root - INFO - get: Это цифра 1823, 03:59:26.020066
